freq,psd_x,psd_y,psd_z,psd_xyz
0.0,4.744e+02,2.065e+01,4.025e+01,5.353e+02
1.5,2.840e+02,6.143e+01,7.958e+01,4.251e+02
3.0,4.171e+01,8.392e+01,7.225e+01,1.979e+02
4.5,3.194e+02,7.485e+01,6.659e+01,4.609e+02
6.1,1.211e+03,7.032e+01,7.182e+01,1.353e+03
7.6,2.073e+03,7.589e+01,6.925e+01,2.219e+03
9.1,3.022e+03,6.994e+01,7.108e+01,3.163e+03
10.6,4.151e+03,7.552e+01,7.335e+01,4.300e+03
12.1,5.556e+03,8.085e+01,7.354e+01,5.711e+03
13.6,7.324e+03,7.923e+01,7.840e+01,7.482e+03
15.2,9.646e+03,7.563e+01,6.995e+01,9.792e+03
16.7,1.254e+04,8.711e+01,7.966e+01,1.270e+04
18.2,1.432e+04,9.084e+01,8.685e+01,1.450e+04
19.7,1.454e+04,9.778e+01,8.278e+01,1.472e+04
21.2,1.691e+04,1.066e+02,7.910e+01,1.710e+04
22.7,2.119e+04,9.213e+01,7.855e+01,2.136e+04
24.3,2.684e+04,1.023e+02,8.716e+01,2.703e+04
25.8,3.406e+04,1.099e+02,8.605e+01,3.425e+04
27.3,4.161e+04,1.012e+02,9.031e+01,4.181e+04
28.8,5.018e+04,1.045e+02,1.104e+02,5.039e+04
30.3,6.133e+04,1.110e+02,1.274e+02,6.157e+04
31.8,7.602e+04,1.210e+02,1.627e+02,7.630e+04
33.3,9.396e+04,1.347e+02,2.556e+02,9.435e+04
34.9,1.099e+05,1.420e+02,2.972e+02,1.104e+05
36.4,1.317e+05,1.421e+02,4.553e+02,1.323e+05
37.9,1.838e+05,1.988e+02,7.654e+02,1.847e+05
39.4,2.549e+05,3.202e+02,1.376e+03,2.566e+05
40.9,3.318e+05,4.238e+02,2.868e+03,3.351e+05
42.4,3.701e+05,5.121e+02,5.145e+03,3.758e+05
44.0,2.989e+05,5.053e+02,6.452e+03,3.058e+05
45.5,2.190e+05,4.490e+02,4.647e+03,2.241e+05
47.0,2.330e+05,3.568e+02,3.604e+03,2.370e+05
48.5,2.468e+05,2.631e+02,6.452e+03,2.535e+05
50.0,2.356e+05,5.706e+02,6.641e+03,2.428e+05
51.5,2.612e+05,1.749e+03,5.176e+03,2.681e+05
53.1,3.351e+05,3.934e+03,9.312e+03,3.484e+05
54.6,3.859e+05,8.061e+03,2.180e+04,4.158e+05
56.1,2.662e+05,1.268e+04,4.223e+04,3.211e+05
57.6,1.473e+05,1.392e+04,4.862e+04,2.099e+05
59.1,9.974e+04,1.314e+04,4.545e+04,1.583e+05
60.6,9.553e+04,1.295e+04,4.391e+04,1.524e+05
62.1,1.203e+05,1.232e+04,4.039e+04,1.730e+05
63.7,1.867e+05,1.086e+04,3.378e+04,2.313e+05
65.2,3.187e+05,1.084e+04,2.740e+04,3.570e+05
66.7,4.872e+05,1.196e+04,2.493e+04,5.241e+05
68.2,7.257e+05,1.024e+04,1.866e+04,7.546e+05
69.7,1.068e+06,8.404e+03,1.248e+04,1.089e+06
71.2,1.486e+06,7.032e+03,1.160e+04,1.505e+06
72.8,1.969e+06,6.378e+03,1.856e+04,1.994e+06
74.3,2.515e+06,6.664e+03,3.208e+04,2.554e+06
75.8,2.803e+06,7.507e+03,4.047e+04,2.851e+06
77.3,2.557e+06,9.809e+03,4.289e+04,2.610e+06
78.8,2.050e+06,1.277e+04,4.300e+04,2.106e+06
80.3,1.526e+06,1.546e+04,4.408e+04,1.585e+06
81.9,1.088e+06,1.642e+04,4.451e+04,1.148e+06
83.4,8.234e+05,1.576e+04,4.251e+04,8.816e+05
84.9,6.942e+05,1.547e+04,4.085e+04,7.505e+05
86.4,5.951e+05,1.655e+04,4.117e+04,6.528e+05
87.9,4.802e+05,1.581e+04,3.730e+04,5.333e+05
89.4,3.671e+05,1.355e+04,3.194e+04,4.126e+05
90.9,3.162e+05,1.617e+04,3.918e+04,3.716e+05
92.5,2.891e+05,1.963e+04,4.323e+04,3.519e+05
94.0,2.333e+05,2.235e+04,4.528e+04,3.009e+05
95.5,1.977e+05,2.389e+04,4.563e+04,2.672e+05
97.0,1.796e+05,1.949e+04,3.714e+04,2.362e+05
98.5,1.589e+05,1.607e+04,3.161e+04,2.066e+05
100.0,1.429e+05,1.245e+04,2.543e+04,1.807e+05
101.6,1.434e+05,8.491e+03,1.862e+04,1.705e+05
103.1,1.253e+05,6.477e+03,1.552e+04,1.473e+05
104.6,1.077e+05,4.074e+03,9.196e+03,1.209e+05
106.1,1.126e+05,2.864e+03,8.200e+03,1.237e+05
107.6,1.142e+05,4.228e+03,1.256e+04,1.310e+05
109.1,1.025e+05,5.778e+03,1.418e+04,1.225e+05
110.7,9.511e+04,6.124e+03,1.351e+04,1.147e+05
112.2,8.817e+04,5.620e+03,1.237e+04,1.062e+05
113.7,7.753e+04,5.125e+03,1.137e+04,9.403e+04
115.2,6.663e+04,4.006e+03,9.211e+03,7.984e+04
116.7,6.616e+04,2.494e+03,1.060e+04,7.926e+04
118.2,9.336e+04,1.782e+03,1.755e+04,1.127e+05
119.7,1.090e+05,1.535e+03,2.074e+04,1.313e+05
121.3,1.128e+05,2.103e+03,2.530e+04,1.402e+05
122.8,1.188e+05,2.839e+03,3.099e+04,1.527e+05
124.3,1.266e+05,3.821e+03,3.704e+04,1.675e+05
125.8,1.424e+05,5.104e+03,4.272e+04,1.902e+05
127.3,1.604e+05,6.242e+03,4.931e+04,2.159e+05
128.8,1.833e+05,7.196e+03,5.687e+04,2.474e+05
