freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.274e+01,4.028e+02,6.499e+02,1.085e+03
1.5,3.485e+01,2.581e+02,4.153e+02,7.082e+02
3.0,2.510e+01,4.317e+01,6.925e+01,1.375e+02
4.5,2.587e+01,3.296e+02,7.523e+01,4.307e+02
6.1,2.877e+01,1.273e+03,6.949e+01,1.372e+03
7.6,2.671e+01,2.194e+03,6.826e+01,2.289e+03
9.1,2.701e+01,3.298e+03,7.100e+01,3.396e+03
10.6,2.823e+01,4.682e+03,7.139e+01,4.782e+03
12.1,3.025e+01,6.554e+03,7.016e+01,6.655e+03
13.6,3.154e+01,9.171e+03,8.683e+01,9.290e+03
15.2,3.115e+01,1.238e+04,1.050e+02,1.252e+04
16.7,3.288e+01,1.621e+04,1.569e+02,1.640e+04
18.2,4.902e+01,2.115e+04,2.834e+02,2.148e+04
19.7,7.614e+01,2.509e+04,3.764e+02,2.554e+04
21.2,8.350e+01,2.647e+04,3.677e+02,2.692e+04
22.7,7.509e+01,2.798e+04,3.176e+02,2.837e+04
24.3,6.449e+01,3.395e+04,4.110e+02,3.443e+04
25.8,7.471e+01,4.218e+04,6.689e+02,4.292e+04
27.3,8.087e+01,5.026e+04,1.294e+03,5.163e+04
28.8,6.937e+01,6.209e+04,2.478e+03,6.463e+04
30.3,8.976e+01,8.577e+04,6.003e+03,9.186e+04
31.8,1.509e+02,1.227e+05,1.435e+04,1.372e+05
33.3,3.169e+02,1.723e+05,3.741e+04,2.100e+05
34.9,1.314e+03,2.313e+05,1.459e+05,3.785e+05
36.4,2.785e+03,3.193e+05,3.963e+05,7.184e+05
37.9,5.058e+03,4.464e+05,7.408e+05,1.192e+06
39.4,7.819e+03,4.358e+05,9.881e+05,1.432e+06
40.9,7.238e+03,3.569e+05,1.172e+06,1.536e+06
42.4,5.273e+03,2.734e+05,1.352e+06,1.630e+06
44.0,5.110e+03,2.294e+05,1.429e+06,1.663e+06
45.5,7.285e+03,2.686e+05,1.471e+06,1.746e+06
47.0,1.068e+04,3.859e+05,1.575e+06,1.971e+06
48.5,1.573e+04,5.567e+05,1.696e+06,2.269e+06
50.0,1.514e+04,6.615e+05,1.615e+06,2.292e+06
51.5,1.064e+04,6.692e+05,1.434e+06,2.114e+06
53.0,5.000e+03,6.268e+05,1.083e+06,1.715e+06
54.6,2.553e+03,5.726e+05,8.861e+05,1.461e+06
56.1,7.190e+03,5.003e+05,7.910e+05,1.299e+06
57.6,1.342e+04,4.230e+05,7.247e+05,1.161e+06
59.1,1.758e+04,3.822e+05,6.754e+05,1.075e+06
60.6,1.943e+04,3.503e+05,6.240e+05,9.937e+05
62.1,1.945e+04,3.088e+05,5.533e+05,8.815e+05
63.7,1.792e+04,2.590e+05,4.608e+05,7.377e+05
65.2,1.657e+04,2.085e+05,3.547e+05,5.797e+05
66.7,1.639e+04,1.717e+05,2.774e+05,4.655e+05
68.2,1.694e+04,1.569e+05,2.431e+05,4.169e+05
69.7,1.742e+04,1.520e+05,2.321e+05,4.016e+05
71.2,1.854e+04,1.483e+05,2.230e+05,3.898e+05
